location,Kyiv
lat,50.46575
lon,30.52865
asl,116.661
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Kyiv Temperature [2 m elevation corrected]
20201117T0000,-0.53720456
20201117T0100,-0.9372046
20201117T0200,-1.4672046
20201117T0300,-1.8072046
20201117T0400,-2.3472047
20201117T0500,-2.6572046
20201117T0600,-2.7272046
20201117T0700,-2.9972045
20201117T0800,-3.3772047
20201117T0900,-3.0272045
20201117T1000,-2.1072044
20201117T1100,-1.2272046
20201117T1200,-0.27720457
20201117T1300,0.3727954
20201117T1400,1.6727955
20201117T1500,1.3827955
20201117T1600,0.8227954
20201117T1700,0.23279542
20201117T1800,-0.3772046
20201117T1900,-0.6472046
20201117T2000,-1.0072045
20201117T2100,-1.3372046
20201117T2200,-1.1072046
20201117T2300,-1.0572046
20201118T0000,-0.9672046
20201118T0100,-0.9572046
20201118T0200,-0.90720457
20201118T0300,-1.8272046
20201118T0400,-1.8372046
20201118T0500,-1.7672045
20201118T0600,-1.8572046
20201118T0700,-2.0672045
20201118T0800,-1.9672046
20201118T0900,-1.4472046
20201118T1000,-0.5072046
20201118T1100,0.4427954
20201118T1200,1.4727954
20201118T1300,2.3927953
20201118T1400,3.0227954
20201118T1500,3.0427954
20201118T1600,2.7127955
20201118T1700,2.4127953
20201118T1800,1.9827955
20201118T1900,1.9727955
20201118T2000,1.8527954
20201118T2100,1.6627953
20201118T2200,1.9427955
20201118T2300,2.0427954
20201119T0000,2.1227953
20201119T0100,2.0727954
20201119T0200,1.8827953
20201119T0300,1.1827954
20201119T0400,0.41279542
20201119T0500,-0.29720458
20201119T0600,-0.86720455
20201119T0700,-0.9272046
20201119T0800,-0.8272046
20201119T0900,0.1827954
20201119T1000,1.5627954
20201119T1100,3.1227953
20201119T1200,4.362796
20201119T1300,5.0627956
20201119T1400,5.292795
20201119T1500,4.652796
20201119T1600,3.4727955
20201119T1700,2.2427955
20201119T1800,1.2827954
20201119T1900,0.6927954
20201119T2000,0.17279541
20201119T2100,-0.16720459
20201119T2200,-0.45720458
20201119T2300,-0.5172046
20201120T0000,-0.49720457
20201120T0100,-0.5272046
20201120T0200,-0.59720457
20201120T0300,-0.73720455
20201120T0400,-0.8272046
20201120T0500,-1.0772046
20201120T0600,-0.8972046
20201120T0700,-1.0672046
20201120T0800,-0.90720457
20201120T0900,-0.5572046
20201120T1000,0.8327954
20201120T1100,2.2127955
20201120T1200,2.9727955
20201120T1300,2.9627955
20201120T1400,2.3127954
20201120T1500,2.3627954
20201120T1600,2.1727955
20201120T1700,1.5927954
20201120T1800,1.0327954
20201120T1900,1.1227955
20201120T2000,1.2127954
20201120T2100,1.5727954
20201120T2200,2.2427955
20201120T2300,2.2027955
20201121T0000,2.3427954
20201121T0100,2.4427955
20201121T0200,2.3427954
20201121T0300,1.9227955
20201121T0400,1.8327954
20201121T0500,1.5627954
20201121T0600,0.88279545
20201121T0700,0.1827954
20201121T0800,-0.23720458
20201121T0900,0.3727954
20201121T1000,1.3127954
20201121T1100,2.3827953
20201121T1200,3.2727954
20201121T1300,3.9127953
20201121T1400,4.112796
20201121T1500,3.6927955
20201121T1600,2.6427953
20201121T1700,1.7427955
20201121T1800,0.97279537
20201121T1900,0.4927954
20201121T2000,0.7027954
20201121T2100,0.1327954
20201121T2200,-0.107204586
20201121T2300,-0.067204595
20201122T0000,-0.22720458
20201122T0100,-0.7072046
20201122T0200,-0.9272046
20201122T0300,-1.1072046
20201122T0400,-1.4172046
20201122T0500,-1.5072045
20201122T0600,-1.5372046
20201122T0700,-1.7472045
20201122T0800,-1.8072046
20201122T0900,-0.6272046
20201122T1000,0.9527954
20201122T1100,2.2227955
20201122T1200,3.1327953
20201122T1300,4.3527956
20201122T1400,4.862796
20201122T1500,4.3527956
20201122T1600,3.5527956
20201122T1700,3.2527955
20201122T1800,3.0127954
20201122T1900,2.7727954
20201122T2000,2.7327955
20201122T2100,2.8027954
20201122T2200,2.7727954
20201122T2300,2.7427955
20201123T0000,2.7227955
20201123T0100,2.7927954
20201123T0200,2.3227954
20201123T0300,2.2027955
20201123T0400,1.7027955
20201123T0500,1.2127954
20201123T0600,1.2527955
20201123T0700,1.0527954
20201123T0800,0.9827955
20201123T0900,1.7027955
20201123T1000,2.9627955
20201123T1100,4.152796
20201123T1200,5.112796
20201123T1300,5.7327957
20201123T1400,6.2227955
20201123T1500,5.992795
20201123T1600,5.162795
20201123T1700,4.6927958
20201123T1800,4.362796
20201123T1900,4.372795
20201123T2000,4.3027954
20201123T2100,3.9127953
20201123T2200,3.8727953
20201123T2300,3.9827955
20201124T0000,3.5827954
20201124T0100,3.3827953
20201124T0200,3.1727955
20201124T0300,3.1627953
20201124T0400,3.3827953
20201124T0500,3.3127954
20201124T0600,3.3027954
20201124T0700,3.4627955
20201124T0800,3.6727955
20201124T0900,4.1327953
20201124T1000,4.8427954
20201124T1100,4.9827957
20201124T1200,5.122795
20201124T1300,5.152796
20201124T1400,5.292795
20201124T1500,4.872795
20201124T1600,4.3527956
20201124T1700,4.112796
20201124T1800,3.8827956
20201124T1900,3.6527956
20201124T2000,3.4727955
20201124T2100,3.3627954
20201124T2200,3.3227954
20201124T2300,3.2927954
